INDEX;MESS_DATUM;LUFTTEMP_INT;LUFTTEMP_FLOAT;LUFTFEUCHTIGKEIT;
100404;2023121503;20;2,0;82;
100405;2023121502;23;2,3;83;
100406;2023121501;23;2,3;85;
100407;2023121500;29;2,9;80;
100408;2023121423;18;1,8;78;
100409;2023121422;25;2,5;79;
100410;2023121421;27;2,7;82;
100411;2023121420;27;2,7;84;
100412;2023121419;28;2,8;83;
100413;2023121418;31;3,1;83;
100414;2023121417;33;3,3;86;
100415;2023121416;34;3,4;85;
100416;2023121415;33;3,3;86;
100417;2023121414;36;3,6;87;
100418;2023121413;37;3,7;87;
100419;2023121412;35;3,5;87;
100420;2023121411;35;3,5;88;
100421;2023121410;34;3,4;91;
100422;2023121409;32;3,2;89;
100423;2023121408;31;3,1;90;
100424;2023121407;31;3,1;94;
100425;2023121406;30;3,0;96;
100426;2023121405;29;2,9;94;
100427;2023121404;29;2,9;95;
100428;2023121403;30;3,0;95;
100429;2023121402;33;3,3;96;
100430;2023121401;35;3,5;96;
100431;2023121400;40;4,0;95;
100432;2023121323;42;4,2;95;
100433;2023121322;45;4,5;94;
100434;2023121321;46;4,6;94;
100435;2023121320;48;4,8;95;
100436;2023121319;48;4,8;95;
100437;2023121318;49;4,9;96;
100438;2023121317;50;5,0;95;
100439;2023121316;50;5,0;95;
100440;2023121315;51;5,1;93;
100441;2023121314;53;5,3;93;
100442;2023121313;54;5,4;94;
100443;2023121312;53;5,3;95;
100444;2023121311;52;5,2;94;
100445;2023121310;52;5,2;94;
100446;2023121309;50;5,0;94;
100447;2023121308;48;4,8;96;
100448;2023121307;46;4,6;96;
100449;2023121306;45;4,5;94;
100450;2023121305;45;4,5;92;
100451;2023121304;41;4,1;93;
100452;2023121303;38;3,8;92;
100453;2023121302;36;3,6;92;
100454;2023121301;34;3,4;94;
100455;2023121300;32;3,2;93;
100456;2023121223;33;3,3;93;
100457;2023121222;36;3,6;93;
100458;2023121221;44;4,4;91;
100459;2023121220;43;4,3;90;
100460;2023121219;46;4,6;88;
100461;2023121218;57;5,7;86;
100462;2023121217;51;5,1;85;
100463;2023121216;64;6,4;86;
100464;2023121215;68;6,8;83;
100465;2023121214;76;7,6;82;
100466;2023121213;79;7,9;84;
100467;2023121212;72;7,2;87;
100468;2023121211;63;6,3;95;
100469;2023121210;63;6,3;90;
100470;2023121209;63;6,3;92;
100471;2023121208;62;6,2;94;
100472;2023121207;62;6,2;92;
100473;2023121206;65;6,5;94;
100474;2023121205;66;6,6;95;
100475;2023121204;67;6,7;93;
100476;2023121203;67;6,7;87;
100477;2023121202;68;6,8;89;
100478;2023121201;71;7,1;88;
100479;2023121200;72;7,2;89;
100480;2023121123;75;7,5;87;
100481;2023121122;79;7,9;89;
100482;2023121121;79;7,9;94;
100483;2023121120;83;8,3;91;
100484;2023121119;84;8,4;91;
100485;2023121118;86;8,6;92;
100486;2023121117;87;8,7;95;
100487;2023121116;84;8,4;94;
100488;2023121115;85;8,5;91;
100489;2023121114;88;8,8;87;
100490;2023121113;91;9,1;87;
100491;2023121112;89;8,9;90;
100492;2023121111;81;8,1;89;
100493;2023121110;86;8,6;89;
100494;2023121109;84;8,4;84;
100495;2023121108;84;8,4;85;
100496;2023121107;80;8,0;87;
100497;2023121106;81;8,1;85;
100498;2023121105;85;8,5;84;
100499;2023121104;80;8,0;86;
100500;2023121103;72;7,2;93;
100501;2023121102;61;6,1;95;
100502;2023121101;60;6,0;94;
100503;2023121100;64;6,4;88;
100504;2023121023;66;6,6;87;
100505;2023121022;70;7,0;82;
100506;2023121021;74;7,4;83;
100507;2023121020;76;7,6;81;
100508;2023121019;74;7,4;84;
100509;2023121018;73;7,3;89;
100510;2023121017;76;7,6;85;
100511;2023121016;73;7,3;90;
100512;2023121015;73;7,3;94;
100513;2023121014;74;7,4;92;
100514;2023121013;74;7,4;92;
100515;2023121012;74;7,4;90;
100516;2023121011;74;7,4;90;
100517;2023121010;75;7,5;90;
100518;2023121009;58;5,8;93;
100519;2023121008;36;3,6;96;
100520;2023121007;29;2,9;95;
100521;2023121006;27;2,7;94;
100522;2023121005;24;2,4;95;
100523;2023121004;23;2,3;94;
100524;2023121003;23;2,3;92;
100525;2023121002;28;2,8;92;
100526;2023121001;31;3,1;92;
100527;2023121000;32;3,2;92;
100528;2023120923;36;3,6;89;
100529;2023120922;31;3,1;90;
100530;2023120921;27;2,7;86;
100531;2023120920;25;2,5;85;
100532;2023120919;28;2,8;86;
100533;2023120918;35;3,5;87;
100534;2023120917;39;3,9;90;
100535;2023120916;41;4,1;91;
100536;2023120915;47;4,7;89;
100537;2023120914;53;5,3;85;
100538;2023120913;51;5,1;87;
100539;2023120912;46;4,6;87;
100540;2023120911;41;4,1;90;
100541;2023120910;38;3,8;89;
100542;2023120909;33;3,3;90;
100543;2023120908;27;2,7;94;
100544;2023120907;23;2,3;93;
100545;2023120906;21;2,1;95;
100546;2023120905;18;1,8;95;
100547;2023120904;16;1,6;93;
100548;2023120903;16;1,6;92;
100549;2023120902;15;1,5;91;
100550;2023120901;13;1,3;92;
100551;2023120900;12;1,2;92;
100552;2023120823;11;1,1;92;
100553;2023120822;10;1,0;90;
100554;2023120821;10;1,0;90;
100555;2023120820;9;0,9;90;
100556;2023120819;9;0,9;92;
100557;2023120818;9;0,9;89;
100558;2023120817;14;1,4;86;
100559;2023120816;13;1,3;83;
100560;2023120815;13;1,3;81;
100561;2023120814;13;1,3;81;
100562;2023120813;13;1,3;81;
100563;2023120812;12;1,2;83;
100564;2023120811;9;0,9;84;
100565;2023120810;12;1,2;83;
100566;2023120809;9;0,9;85;
100567;2023120808;8;0,8;88;
100568;2023120807;11;1,1;89;
100569;2023120806;13;1,3;90;
100570;2023120805;13;1,3;92;
100571;2023120804;13;1,3;94;
100572;2023120803;10;1,0;95;
100573;2023120802;8;0,8;95;
100574;2023120801;8;0,8;95;
100575;2023120800;10;1,0;96;
100576;2023120723;8;0,8;95;
100577;2023120722;12;1,2;95;
100578;2023120721;15;1,5;94;
100579;2023120720;15;1,5;92;
100580;2023120719;15;1,5;93;
100581;2023120718;15;1,5;92;
100582;2023120717;15;1,5;93;
100583;2023120716;16;1,6;92;
100584;2023120715;19;1,9;91;
100585;2023120714;18;1,8;88;
100586;2023120713;15;1,5;89;
100587;2023120712;15;1,5;86;
100588;2023120711;14;1,4;87;
100589;2023120710;12;1,2;86;
100590;2023120709;13;1,3;88;
100591;2023120708;11;1,1;88;
100592;2023120707;11;1,1;88;
100593;2023120706;10;1,0;89;
100594;2023120705;10;1,0;89;
100595;2023120704;10;1,0;88;
100596;2023120703;9;0,9;88;
100597;2023120702;8;0,8;90;
100598;2023120701;8;0,8;90;
100599;2023120700;9;0,9;90;
100600;2023120623;10;1,0;91;
100601;2023120622;11;1,1;90;
100602;2023120621;12;1,2;90;
100603;2023120620;13;1,3;95;
100604;2023120619;14;1,4;96;
100605;2023120618;15;1,5;93;
100606;2023120617;14;1,4;95;
100607;2023120616;12;1,2;96;
100608;2023120615;11;1,1;94;
100609;2023120614;10;1,0;93;
100610;2023120613;9;0,9;93;
100611;2023120612;7;0,7;92;
100612;2023120611;6;0,6;92;
100613;2023120610;4;0,4;93;
100614;2023120609;4;0,4;92;
100615;2023120608;3;0,3;92;
100616;2023120607;3;0,3;92;
100617;2023120606;3;0,3;92;
100618;2023120605;3;0,3;91;
100619;2023120604;2;0,2;91;
100620;2023120603;2;0,2;89;
100621;2023120602;1;0,1;88;
100622;2023120601;0;0,0;87;
100623;2023120600;0;0,0;86;
100624;2023120523;-2;-0,2;85;
100625;2023120522;-3;-0,3;85;
100626;2023120521;-5;-0,5;85;
100627;2023120520;-6;-0,6;86;
100628;2023120519;-7;-0,7;86;
100629;2023120518;-6;-0,6;86;
100630;2023120517;-7;-0,7;88;
100631;2023120516;-5;-0,5;84;
100632;2023120515;-3;-0,3;83;
100633;2023120514;-1;-0,1;79;
100634;2023120513;-1;-0,1;76;
100635;2023120512;0;0,0;74;
100636;2023120511;-4;-0,4;75;
100637;2023120510;-9;-0,9;75;
100638;2023120509;-16;-1,6;77;
100639;2023120508;-18;-1,8;78;
100640;2023120507;-19;-1,9;78;
100641;2023120506;-22;-2,2;78;
100642;2023120505;-24;-2,4;79;
100643;2023120504;-26;-2,6;79;
100644;2023120503;-28;-2,8;80;
100645;2023120502;-29;-2,9;80;
100646;2023120501;-29;-2,9;79;
100647;2023120500;-30;-3,0;80;
100648;2023120423;-28;-2,8;79;
100649;2023120422;-22;-2,2;78;
100650;2023120421;-20;-2,0;77;
100651;2023120420;-14;-1,4;77;
100652;2023120419;-10;-1,0;78;
100653;2023120418;-10;-1,0;78;
100654;2023120417;-8;-0,8;77;
100655;2023120416;-9;-0,9;76;
100656;2023120415;-10;-1,0;77;
100657;2023120414;-9;-0,9;76;
100658;2023120413;-11;-1,1;75;
100659;2023120412;-13;-1,3;74;
100660;2023120411;-18;-1,8;74;
100661;2023120410;-22;-2,2;78;
100662;2023120409;-26;-2,6;79;
100663;2023120408;-34;-3,4;83;
100664;2023120407;-39;-3,9;85;
100665;2023120406;-45;-4,5;86;
100666;2023120405;-48;-4,8;87;
100667;2023120404;-48;-4,8;88;
100668;2023120403;-54;-5,4;91;
100669;2023120402;-50;-5,0;92;
100670;2023120401;-52;-5,2;90;
100671;2023120400;-46;-4,6;91;
100672;2023120323;-45;-4,5;89;
100673;2023120322;-32;-3,2;85;
100674;2023120321;-30;-3,0;87;
100675;2023120320;-26;-2,6;85;
100676;2023120319;-21;-2,1;83;
100677;2023120318;-22;-2,2;82;
100678;2023120317;-21;-2,1;82;
100679;2023120316;-20;-2,0;82;
100680;2023120315;-20;-2,0;81;
100681;2023120314;-22;-2,2;82;
100682;2023120313;-23;-2,3;82;
100683;2023120312;-20;-2,0;82;
100684;2023120311;-23;-2,3;83;
100685;2023120310;-25;-2,5;85;
100686;2023120309;-25;-2,5;85;
100687;2023120308;-21;-2,1;85;
100688;2023120307;-17;-1,7;84;
100689;2023120306;-15;-1,5;87;
100690;2023120305;-15;-1,5;85;
100691;2023120304;-18;-1,8;83;
100692;2023120303;-19;-1,9;81;
100693;2023120302;-21;-2,1;84;
100694;2023120301;-19;-1,9;85;
100695;2023120300;-15;-1,5;86;
100696;2023120223;-16;-1,6;87;
100697;2023120222;-17;-1,7;86;
100698;2023120221;-19;-1,9;84;
100699;2023120220;-21;-2,1;84;
100700;2023120219;-23;-2,3;84;
100701;2023120218;-26;-2,6;85;
100702;2023120217;-30;-3,0;86;
100703;2023120216;-30;-3,0;88;
100704;2023120215;-32;-3,2;88;
100705;2023120214;-36;-3,6;88;
100706;2023120213;-45;-4,5;90;
100707;2023120212;-49;-4,9;89;
100708;2023120211;-39;-3,9;90;
100709;2023120210;-44;-4,4;88;
100710;2023120209;-50;-5,0;88;
100711;2023120208;-59;-5,9;89;
100712;2023120207;-67;-6,7;87;
100713;2023120206;-68;-6,8;89;
100714;2023120205;-66;-6,6;89;
100715;2023120204;-67;-6,7;89;
100716;2023120203;-67;-6,7;92;
100717;2023120202;-65;-6,5;90;
100718;2023120201;-65;-6,5;91;
100719;2023120200;-60;-6,0;88;
100720;2023120123;-57;-5,7;89;
100721;2023120122;-53;-5,3;90;
100722;2023120121;-53;-5,3;92;
100723;2023120120;-51;-5,1;91;
100724;2023120119;-49;-4,9;92;
100725;2023120118;-46;-4,6;90;
100726;2023120117;-48;-4,8;91;
100727;2023120116;-54;-5,4;90;
100728;2023120115;-64;-6,4;88;
100729;2023120114;-49;-4,9;81;
100730;2023120113;-31;-3,1;76;
100731;2023120112;-27;-2,7;73;
